,Person,Section,Entry Time,Exit Time
0,3,A6,9/20/2021 11:54:04,9/20/2021 11:54:08
1,4,A6,9/20/2021 11:54:13,9/20/2021 11:54:13
2,4,A7,9/20/2021 11:54:13,9/20/2021 11:54:16
3,3,A5,9/20/2021 11:54:08,9/20/2021 11:54:32
4,3,A1,9/20/2021 11:54:32,9/20/2021 11:54:33
5,3,A5,9/20/2021 11:54:33,9/20/2021 11:54:34
6,4,A3,9/20/2021 11:54:16,9/20/2021 11:54:42
7,4,A2,9/20/2021 11:54:42,9/20/2021 11:54:43
8,4,A6,9/20/2021 11:54:43,9/20/2021 11:54:46
9,3,A1,9/20/2021 11:54:34,9/20/2021 11:55:10
10,7,A5,9/20/2021 11:55:10,9/20/2021 11:55:11
11,4,A5,9/20/2021 11:54:46,9/20/2021 11:55:11
12,3,A6,9/20/2021 11:55:10,9/20/2021 11:55:12
13,4,A6,9/20/2021 11:55:11,9/20/2021 11:55:15
14,8,A2,9/20/2021 11:55:14,9/20/2021 11:55:15
15,8,A6,9/20/2021 11:55:15,9/20/2021 11:55:16
16,4,A2,9/20/2021 11:55:15,9/20/2021 11:55:17
17,8,A5,9/20/2021 11:55:16,9/20/2021 11:55:19
18,4,A6,9/20/2021 11:55:17,9/20/2021 11:55:20
